Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,⚽️,✅,✅✅,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,35.980230357591154,"🔹[IP3a]Progression(1st phase ok, sloppy turnover afterwards)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,13.750085335078893,🔹🔸Defensive transition(counter well managed)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,13.750085335078893,🔸🔹Offensive transition(foul gained)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,17.590118271306665,"🔹[IP3a]Progression(OS, long, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,27.92209147316521,"🔸[OP4]Low Block(LTriangle, early cross)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,31.990180694500623,"🔹[IP1b]GK Restart(8"", long under pressure, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,28.187944021246494,🔸[OP4]Low Block(long-distance shot conceded)❌❌🏈,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,23.48075694048748,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,21.980073456989658,🔸[OP4]Low Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,13.166328894753406,"🔸[DSP] Corner(L, far post)❌❌🏈",0,,,,,,,,,,,,,,,,,,,,,,,"❌❌, ⚽️",,.
