Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Adversaire,Contexte,Date,Event,GameTime,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Period,Player,Pourcentage,Qualite,Score final,Set Play Phase,TIME PERIOD,Team,Type action,Zone,🔸 [OP] Zonal Defence,🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],Ungrouped,Notes,Flags
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,23.0801313676302,[IP4] Attack the Box(2 crosses)❌,0,,,,,,00:34:14,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,20.600094484260353,"[IP2a] OP GK Connected(3-1 with GK, next phase?)❌🔎",0,,,,,,00:34:49,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,23.5,"Attacking Throw In(L, MZ, flip the pressure)✅",0,,,,,,00:35:24,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,29.490151799525393,[OP1c] GK Restarts (HB)✅,0,,,,,,00:36:07,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,24.650169185500545,"[IP2a] OP GK Connected(3-1 with GK, around, IB)✅🔎",0,,,,,,00:37:09,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,24.520092667843983,[OP1c] GK Restarts (HB)✅,0,,,,,,00:37:53,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,50.78024561803704,"[IP3b] Attacking (4-3-3, unclear structures and roles)🚧",0,,,,,,00:38:38,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,9.620037796201814,[IP4] Attack the Box(cross)❌,0,,,,,,00:39:21,,,,,,,1,,,,,,,,,,,,,,,,Diagonal Balls,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,46.29022035430853,"[OP3a] High Block (GK Connected, individual mistake)❌",0,,,,,,00:39:25,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,17.18013585839344,[OP4b] Box Defence (cross)✅,0,,,,,,00:39:52,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,21.70012955131051,"Attacking Throw In(R, MZ)✅",0,,,,,,00:40:34,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,60.25818600288403,"[IP3b] Attacking (4-3-3, LTriangle)❌",0,,,,,,00:40:59,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,13.920107898469723,[IP4] Attack the Box(cross)🚧,0,,,,,,00:41:22,,,,,,,1,,,,,,,,,,,,,,,,Crosses,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,27.490156384669262,[OP3b] Mid Block✅,0,,,,,,00:41:56,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
