Timeline,Start time,Duration,Row,Instance number,<flag>.,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,30.850062679988696,🔸[OP3b]Mid Block(opposite winger to compensate)✅⭐️,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,56.22798062575748,🔹[IP4]Attacking Phase(sloppy x2 through)❌,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,25.50015392022624,"🔹[IP2]Low Build-up(lrushed long choice, no pressure)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,53.95086568232182,"🔸[OP2]High Press(high regain, sloppy turnover, counter-A)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,17.727801082798578,"🔹🔸Defensive transition(counter-A, cross back post)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,17.575825184350833,"🔹[IP1a]GK Restart(OS, quick, through)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,24.639189007163623,"🔸[OP3b]Mid Block(IB, off side)⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,31.728170058398973,"🔸[OP2]High Press(backpass, strong triggers, long, 1st contact, 2nd ball)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,24.89014112428913,"🔹[OSP] Free kick(deep, sloppy delivery)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,19.600131060200965,"🔸[OP1b]GK Restart(8"", long, 1st contact, 2nd ball)✅⭐️",0,,,🔸🔹[OT] Keep the ball,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,12.430070412659461,"🔸[OP1b]GK Restart(HBlock, 1st contact)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,28.1505430189286,"🔸[OP1b]GK Restart(HBlock, 1st contact, 2nd ball)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,26.30333883656658,"🔸[OP4]Low Block(RTriangle, box unit, comopsure after the regain)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,11.580071927748577,🔸[OP3b]Mid Block(IB)✅,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,18.443320659296205,"🔸[OP1b]GK Restart(OS, short, foul)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,16.070091133974074,"🔸[OP2]High Press(long, 1st contact, 2nd ball)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,12.667668831160881,"🔹🔸Defensive transition(counter-A, tactical foul)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,10.520068281908607,🔸[OP3b]Mid Block(strong triggers)✅⭐️,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,23.71577957786758,"🔹[OSP] Free kick(deep, 2-man)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,20.431470847961464,"🔹[OSP] Throw-in(L, HZ, long, 2 phases, header)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,8.520051513606631,🔸[OP3b]Mid Block(strong triggers)✅⭐️,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,19.220129239039125,"🔸[OP3b]Mid Block(2 6s, 2CBs attracted)❌⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,31.504013352047878,"🔹[IP4]Attacking Phase(fast attack, switch, back-post cross)✅✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,36.44227899021462,🔹🔸Defensive transition(counter-A)❌,0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,12.660076819906863,"🔸[DSP] Corner(L, back-post, 1st contact lost)🚧",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,21.66548427453381,"🔹[IP1b]GK Restart(around, long IB, offside)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,15.010092057877046,"🔸[OP3b]Mid Block(IB, on the edge)⚠️",0,,,,,.
