Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,Ungrouped,Notes,Flags
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,17.02012619269135,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,12.480085653583956,"🔹[OSP] Throw-in(R, MZ)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,35.98912673667746,"🔹[IP2]Low Build-up(around, turnover)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,20.840113703526185,🔹🔸Defensive transition(C.-attack)✅,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.747987908910545,🔹[OSP] Kick-off❌,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.461274966432029,"🔸[OP3b]Mid Block(LTrigger, regain)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,33.09424129437821,"🔹[IP3a]Progression(around, into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.000134124283704,🔸[OP3b]Mid Block(RSide dynamics)❌🔍,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,8.526277691748874,"🔸[DSP] Free kick(R, direct)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,31.87019019866284,"🔹[IP1a]GK Restart(OS, around, IB)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,39.66758129651498,"🔹[IP4]Attacking Phase(R/L triangles, cross, header)✅✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,18.860113399995953,"🔸[OP1b]GK Restart(OS, around, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,16.470098703541225,"🔹[OSP] Throw-in(R, MZ)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.135814529800882,"🔹[IP3b]Progression(around, IB under pressure)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,36.97245485734402,"🔸[OP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.750126497060137,🔸[OP2]High Press(long)✅,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,35.570208512379395,"🔹[IP3b]Progression(LTRiangle, cross, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,28.637772269459674,"🔹[IP4]Attacking Phase(LTriangle, crosses, shots)✅",0,,,,,,,,,,,,,,,,,.
