Timeline,Start time,Duration,Row,Instance number,<flag>.,Assist,Corner Taken,Event,GameTime,Half,Pass,Period,Player,Shot Pattern of Play,Team,Zone,🔸[DSP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250913_CrystalPalace_Sunderland_4ANGLES,0.0,14.050080764956874,🔸[OP1] GK Restart(HB)✅,0,,,,,00:44:04,,,1,,,,,,,Direct (HB),,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,24.94021119139552,"🔹[IP3b] Progression(RTriangle, switch LTriangle, poor cross)✅🔎",0,,,,,00:44:19,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,30.0,🔹[OSP] Attacking Kick Off✅,0,,,,,00:00:00,,,2,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,13.620072858559979,🔹[IP5] Attack the Box(cross)✅,0,,,,,00:00:17,,,2,,,,,,,,,Last Line Break,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,22.243236997219356,"🔸[OP3b] Mid Block(direct play, 2nd ball)🚧",0,,,,,00:00:51,,,2,,,,,,,,Diagonal Pass,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,30.788790855101524,"🔸[OP3b] Mid Block(poor triggers, 10s available)❌⚠️🔎",0,,,,,00:01:46,,,2,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,34.57908521297941,"🔹[1Pa] GK Restarts(short, 8 sec rule)❌",0,,,,,00:02:12,,,2,,,,,,,,,,,"Short, Spare Man (vMFM)",,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,16.110105763888896,🔸🔹Defensive Transition✅,0,,,,,00:02:25,,,2,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,27.361585259468484,🔸[OP3b] Mid Block(compactness)❌🔎,0,,,,,00:02:59,,,2,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,10.880087182539683,🔸[OP5] Defend the Box(cross)✅,0,,,,,00:03:16,,,2,,,,,,Crosses Conceded,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,35.61436815773732,"🔸[OP3b] Mid Block(diag, cross, 2nd zone)❌❌",0,,,,,00:03:35,,,2,,,,,,,,Diagonal Pass,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,30.714298760513884,🔸[DSP] Defending Corner(R)✅,0,,,In-swinger,Pass,"00:04:26, 00:04:17",Second Half,"Cross, Corner taken, Chipped","2, 2",Yéremy Pino,,Crystal Palace,Center,Central,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,20.029109665831584,🔸[DSP] Defending Free Kick(R)✅,0,,,,,00:40:10,,,2,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,23.750123450963656,🔹[IP5] Attack the Box(2 crosses)🚧,0,,,,,00:40:34,,,2,,,,,,,,,Crosses,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,19.935040081338684,"🔹[OSP] Attacking Corner(R, 3-men)❌",0,,,,Pass,"00:38:46, 00:38:39",Second Half,Corner taken,"2, 2",Trai Hume,,Sunderland,Center,,,,,,,,"Right, Short",,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,23.95014480989721,🔸[OP3a] High Block(gold standart)✅,0,,,,,00:39:17,,,2,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,12.370077432528433,"🔹[OSP] Attacking Throw In(L, long)❌",0,,,,,00:37:22,,,2,,,,,,,,,,,,"Left, Att 1/3, Long",,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,22.768367008866335,"🔹[OSP] Attacking Throw In(L, quick)🚧",0,,,,,00:37:30,,,2,,,,,,,,,,,,"Left, Att 1/3",,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,15.910084421046577,"🔹[OSP] Attacking Corner(L, no blocks)❌",0,,,In-swinger,Pass,"00:36:29, 00:36:22",Second Half,"Corner taken, Long ball, Chipped, Cross","2, 2",Trai Hume,,Sunderland,Center,,,,,,,,Left,,,.
