Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Adversaire,Arthur,Assist,Bertrand,Contexte,Corner Taken,Date,Enzo,Event,GameTime,Granit,HALF TIME,Half,Journée,Lieu,MINUTE,Noah,Nordi,Pass,Period,Player,Pourcentage,Qualite,Score final,Shot Pattern of Play,Simon,TIME PERIOD,Team,Trai,Type action,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251004_ManchesterUnited_Sunderland_ANALYST,0.0,30.010192639582783,"🔹[IP2a] Low Build-up(OS, long, option missed)❌",0,,,,,,,,,,,,00:37:13,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.30009297477318,🔸🔹Offensive transition🚧,0,,,,,,,,,,,,00:37:52,,,,,,,,,,2,,,,,,,,,,,,,Fast Attack,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,11.950068592964271,"🔹[OSP] Attacking Corner(R, delivery)❌",0,,,,,,,,In-swinger,,,Pass,00:38:32,,,Second Half,,,,,,"Corner taken, Long ball, Chipped, Cross",2,Granit Xhaka,,,,,,,Sunderland,,,Center,,,,,,,,,,Right,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,14.200073160720422,🔸[OP1a] GK Restart(HBlock)✅,0,,,,,,,,,,,,00:27:55,,,,,,,,,,2,,,,,,,,,,,,,,,Direct (HB),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,18.39010151360526,🔸[OP2] High Press(long)✅,0,,,,,,,,,,,,00:28:04,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,27.010213993936304,"🔹[IP2a] Low Build-up(sspare man, combination play through, in behind)✅",0,,,,,,,,,,,,00:28:26,,,,,,,,,,2,,,,,,,,,,,,,,,,,,In-Behind,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,23.320550953743805,"🔹[OSP] Attacking Throw In(L, long, shot)✅",0,,,,,,,,,,,,00:26:36,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Left, Att 1/3, Long",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,23.29010453747469,🔹🔸Defensive Transition(on the edge)❌⚠️,0,,,,,,,,,,,,00:26:41,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,17.050071636229404,🔸[OP1a] GK Restart(HBlock)✅,0,,,,,,,,,,,,00:25:26,,,,,,,,,,2,,,,,,,,,,,,,,,Direct (HB),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.07009876709435,"🔹[OSP] Attacking Throw In(R, MZ)❌",0,,,,,,,,,,,,00:25:47,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
