Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,TIME PERIOD,Type action,✅,❌,❌❌,🔸🔹[OT] Keep the ball,🔹[IP] Restart Phase,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260211_Sunderland_Liverpool_ANALYST,0.0,30.85000230963533,"🔸🔹Offensive transition(exploit, counter, last pass)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,52.841004543704,"🔸[OP3b]Mid Block(passive, through, cross, no control)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,37.541651955310954,"🔹[IP1b]GK Restart(OS, long, target the 9, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,21.049581405060962,"🔹🔸Defensive transition(RTriangle, cross)❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,15.442335975324568,"🔸[DSP] Corner(R, mid zone, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,14.105184149970682,"🔸[DSP] Corner(L, front post, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,27.191040200143107,"🔸[DSP] Corner(L, front post, 1st contact, 2nd cross)🚧",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,26.430139011044048,"🔹[IP1b]GK Restart(OS, around through the 10)✅⚠️",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,19.388720541945986,"🔹🔸Defensive transition(cheap turnover, well managed)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,29.99833333333345,"🔸[OP2]High Press(lack of intensity, MFM delays)❌",0,,,,,,,,,,,,,,,,,,,❌,,.
260211_Sunderland_Liverpool_ANALYST,0.0,18.083333333333485,🔸[OP3b]Mid Block(IB)✅,0,,,,,,,,,,,,,,,,,,,✅,,.
