Timeline,Start time,Duration,Row,Instance number,<flag>.,✅,✅✅,❌❌,⭐️,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,38.89822593604026,"🔹[IP4]Attacking Phase(switches, shot)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,30.230196758186366,"🔸[OP1b]GK Restart(8”, inefficient MFM setup)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,62.06262033222538,"🔸[OP4]Low Block(RTriangle, 2 crosses)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,33.72664618073554,"🔸[DSP] Corner(R, 2 phases)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,25.655103616399856,"🔹[IP1b]GK Restart(8"", spare man, through)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,23.428667585508492,🔹[OSP] Free kick(2 phases)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.409536577547215,"🔸[OP1b]GK Restart(8"", MFM, regain)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,20.240113678341913,🔸🔹Offensive transition(bar hit)✅✅,0,,,,,,,,,,,🔹🔸[DT] Back in,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,10.940066447494246,"🔹[IP1a]GK Restart(HBlock, 2nd ball lost)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.80998841836754,🔸[OP3b]Mid Block(IB)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,13.276503180909913,🔹[IP1a]GK Restart(HBlock)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.770094189390875,"🔸[OP2]High Press(MFM, ball forced out)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,27.630163375330085,🔹[IP3a]Progression(forced turnover under pressure)❌🔍,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,28.99165308849706,"🔸[OP3a]High Block(marking flexibility, uncontrolled mobility)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,12.081564103034907,"🔸[OP3b]Mid Block(IB, off side)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,13.413793668266862,🔹[OSP] Free kick(deep)🚧,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.140138084252158,"🔹[IP2]Low Build-up(around, sloppy 2nd phase)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,18.250092948219844,🔹[OSP] Free kick(deep)🚧,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,23.482459281664433,"🔸[OP1a]GK Restart(quick, long)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,26.260157384426293,"🔹[IP3a]Progression(RCB steps in, IB to 9)✅🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,12.714710246125378,"🔹[OSP] Throw-in(fake long, short & cross, off side)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,10.30005638047578,🔸[OP3b]Mid Block(RTriangle)✅⚠️,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,26.972076423081035,"🔹[IP1a]GK Restart(RCB steps in, diagonal pass, inaccurate)🚧🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,34.35386829167055,"🔸[DSP] Throw-in(4-4-2 opened, counter-attack)❌⚠️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,8.189319692766276,🔸[OP4]Low Block(shot from 25 m)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,19.950106691089786,"🔸[DSP] Corner(R, 2 phases)❌❌",0,,,,,,,,,,,❌❌,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.455279870202503,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,17.90009295956179,"🔹[OSP] Corner(L, far post, 2nd phase)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,11.450071627095895,🔹[OSP] Corner(R)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,26.277270968431367,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,11.28006278410976,🔹[IP2]Low Build-up(spare man through the 6 )🚧,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,25.0,🔹[OSP] Free kick(2 phases)✅,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.01009965572348,"🔹[IP2]Low Build-up(triangle under pressure, long, turnover)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,18.850112705933498,🔹[IP2]Low Build-up(spare man)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,19.021912927338235,"🔹[IP1b]GK Restart(8"", long, 2nd ball)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.841003076229754,🔹[IP2]Low Build-up(around)✅⭐️,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,8.329982018140981,"🔹[OSP] Free kick(L, poor delivery)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.810333390957567,🔸[OP1a]GK Restart(quick)🚧,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,26.412929240441372,"🔸[DSP] Corner(L, 2 phases)⚠️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,32.46061692361036,"🔹[IP1b]GK Restart(8"", clearance under pressure)❌",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,26.456384240984335,"🔹[IP1a]GK Restart(spare man, low turnover)❌⚠️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,25.254087531260666,"🔸[OP1b]GK Restart(8"", high regain)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,10.75997470663242,"🔹[OSP] Corner(L, post)✅✅",0,,,,,,,,,,,✅✅,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,18.690107578270727,"🔸[OP1a]GK Restart(OS, long)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,9.475357056904613,🔹[OSP] Free kick(deep)❌,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.30009754177263,"🔸[OP1b]GK Restart(8"", long)❌",0,,,,,,,,,,,,,.
