Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅,✅✅,❌,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Counter-attack,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260228_Bournemouth_Sunderland_ANALYST,0.0,32.42984947845798,"🔹🔸Defensive transition(turnover, RTriangle, shot)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,"🔹🔸[DT] Counter-attack, ❌❌",,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.148379289641525,"🔸[DSP] Free kick(direct, wall?)✅",0,,,,,,,,,,,,,,,,,,,,,,,❌❌,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,10.0,"🔸[DSP] Throw-in(R, HZ, long, foul)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.690118274736506,"🔸[DSP] Throw-in(R, HZ, long, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,26.148402612345762,"🔹[IP1b]GK Restart(OS, quick RCB, into the 9, turnover)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,17.930102406602145,"🔸[OP3b]Mid Block(strong triggers, IB)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.169972264739044,"🔹[IP3b]Progression(LCB under pressure, into the 9)🚧",0,,Bournemouth,Contexte,20260228,MT 0,Journée 28,Exterieur,110,100%,+,1/1,110 - 120,Toffensive,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.110169797877006,"🔹[OSP] Throw-in(L, MZ, patterns? Turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,29.82966177540493,"🔸[DSP] Free kick(R, wide, 2 phases, Blocks)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,32.73340550758394,"🔹[IP1a]GK Restart(HBlock, 2nd ball, opportunity to keep the ball)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,27.019824032988254,"🔸[OP2]High Press(OS, long, 2nd ball, switch, cross)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,35.96443980509139,"🔹[IP1a]GK Restart(OS, quick, short, around, long into the 9, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.834740079888434,"🔹[OSP] Free kick(R, wide, 3-man, shot deflected)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,31.450375327467555,"🔹[OSP] Corner(L, poor delivery, 2nd phase)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,32.73185943068256,🔹[IP3b]Progression(unable to break pressure / no forward solution)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,15.346492355533883,"🔹[OSP] Throw-in(R, MZ, patterns? Turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.467964089304132,"🔸[DSP] Free kick(R, wide, 1st contact lost, 2nd phase)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.97035952567103,"🔹[IP1b]GK Restart(OS, around, long, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,48.276712652428614,"🔸[OP2]High Press(good triggers, forced long, 2nd ball lost)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,18.0,"🔸[DSP] Corner(L, MZ, blocks, 1st contact, 2nd phase)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,39.81177137433315,"🔹[IP1a]GK Restart(HBlock, 2nd ball, unable to secure)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.3397959183676,"🔹🔸Defensive transition(2nd ball, LSide exposure, cross, shot)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,🔹🔸[DT] Counter-attack,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,28.995456347854088,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,28.25016614093829,"🔹[IP2]Low Build-up(around/IB under pressure, cross)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,34.82884538510007,"🔸[OP1b]GK Restart(OS, long, regain)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,32.99016855158743,"🔸🔹Offensive transition(regain, forward, IB, 1v1 GK)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,30.939841993351365,"🔸[OP1a]GK Restart(OS, long, 1st contact not clean, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,10.26005089285718,"🔹[OSP] Throw-in(R, MZ, forward)✅⭐️",0,,Bournemouth,Contexte,20260228,MT 0,Journée 28,Exterieur,110,120%,+,1/1,110 - 120,Toffensive,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,28.930518034958823,"🔸[OP1a]GK Restart(OS, long, 1st contact, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,20.6854662706246,"🔹[IP2]Low Build-up(GK under pressure, mid long clearance, turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,42.35245155042958,"🔸[OP4]Low Block(LTriangle, compensation, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
