Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,❌❌,🏈,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,19.5,🔹🔸Defensive transition(counter-A)✅,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,32.842984555114526,"🔸[OP2]High Press(long, clearance, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,22.430100900559864,"🔹[OSP] Throw-in(R, MZ, no pattern)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,19.745918981832347,🔸[OP3b]Mid Block(LTriangle broken)❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,36.74316113663917,"🔸[DSP] Corner(L, 2-man, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,27.79015332387189,"🔹[IP2]Low Build-up(around, through, around, turnover)✅",0,,,,,,,,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,24.665811380702962,"🔹🔸Defensive transition(Counter-A, poor counter-press, recovery runs?)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.5,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,Brentford,Contexte,20260107,MT 0,Journée 21,Exterieur,103,120%,+,0/3,100 - 110,CPA OFF,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,26.240162372758277,"🔸[OP2]High Press(flip the pressure, counter-press, force the error)",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,32.62801735271023,"🔹[IP2]Low Build-up(spare man, through, switch, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,28.088160487124696,"🔸[OP1a]GK Restart(Hblock, 2nd ball)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
