Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,❌❌,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260207_Arsenal_Sunderland_ANALYST,0.0,15.810092053739936,"🔹[IP1a]GK Restart(OS, spare man, IB to the 9)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.490095395518438,"🔸[OP4]Low Block(LTriangle, out of position)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,27.530167959727805,"🔹[IP1b]GK Restart(OS, short, through 2x pivot)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,30.47157031783263,"🔹[IP3b]Progression(around/through closed, into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,43.96853078560616,"🔹[IP4]Attacking Phase(2 attacks, attacks, effective counter-press, sustained attack)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.670077420184498,"🔹[IP2]Low Build-up(OS, long, turnover)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,56.3462984450789,"🔸[OP3b]Mid Block(good triggers, IB)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,44.76026123120755,"🔹[IP2]Low Build-up(around, RB too close to the press)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,44.5007820990113,"🔸[OP4]Low Block(efficient, corner conceded)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,25.09011826456117,"🔸[DSP] Corner(R, GK delivery)✅",0,,,,,,,,,,,,,,,,,❌❌,,.
260207_Arsenal_Sunderland_ANALYST,0.0,13.70008384243647,"🔹[OSP] Throw-in(L, DZ, flip the pressure pattern?)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,41.620176486518176,"🔸[OP3b]Mid Block(good triggers, IB)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.180122226755884,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.565258402777545,"🔸[OP2]High Press(OS, short then mid range pass)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,51.43028684417186,"🔹[IP3b]Progression(around, big pitch)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,17.06237167109066,"🔹[OSP] Free kick(R, wide, back post delivery)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.100096019056764,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,29.4701612557119,"🔹[IP2]Low Build-up(through, spare man, around)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,30.3961692955927,"🔹🔸Defensive transition(poor cross delivery, attitudes)❌❌🏈",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,28.94020357645786,"🔹🔸Defensive transition(high turnover, backline exposed, attitudes?)❌⚠️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,12.54692430151863,"🔹[IP1a]GK Restart(HBlock, 2nd ball, foul)",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,14.950082286952238,🔸[OP3b]Mid Block(long switch IB)❌❌,0,,,,,,,,,,,,,,,,,❌❌,,.
