Timeline,Start time,Duration,Row,Instance number,<flag>.,Event,Half,Pass,Player,Team,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,14.02006828556432,🔹[OSP] Attacking Free Kick✅,0,,,,,,,,,,,,,,Right,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,26.0,"🔸[DSP] Defending Throw In(R, HZ, no pressure)❌",0,,,,,,,,"Central, Att 1/3",,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,24.0,"🔸[OP3a] High Block(long ball, passive in duel)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.93011764413427,🔸[DSP] Defending Free Kick(L)✅,0,,,,,,,,Left,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,20.750109755508674,"🔹[I1a] GK Restarts(around, foul gained)✅",0,,,,,,,,,,,,,Restart Quickly,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,34.06016368811083,"🔹[I2a] Low Build-Up(around, left triangle rotation)✅🔎",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.370126206636996,"🔹[IP4] Attacking Phase(LTriangle, cross)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,44.510249061333525,"🔹[IP4] Attacking Phase(LTriangle, cross)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.30008534863964,"🔸[DSP] Defending Throw In(R, HZ)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.630106979245738,"🔹[I3b] Progression(CB steps up, triangle rotation, lack of composure)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,24.270155130628154,"🔸[OP2] High Press(long ball, win duel, recycle)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.680113083026754,🔹[I2a] Low Build-Up(through 8)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.027080785728685,🔹[OSP] Attacking Free Kick✅✅⚽️,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,23.700185956247424,"🔸[OP2] High Press(overload RSide, management?)🚧🔎",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,30.940180777360638,🔸[OP3b] Mid Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.38009936028493,"🔹[OSP] Attacking Throw In(R, DZ)🚧",0,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,33.0,🔸[OP2] High Press(press neutralised by a midfielder dropping)❌🔎,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,41.65293310434936,🔸[OP3b] Mid Block(RTRiangle)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.740103039423957,"🔹[I1a] GK Restarts(OS, CB steps up, lack of composure)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,20.39006193480691,"🔸[OP4] Low Block(LTriangle, marking in the box)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,20.475833423083714,🔸[OP3a] High Block(long ball)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.390099922057288,🔹[I3b] Progression(lack of composure)❌,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.85011127151529,🔸[OP4] Low Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,40.31021243780424,"🔸[OP4] Low Block(RTRiangle, cross)✅",0,,"Pass, Pass, Pass, Pass, Pass, Defensive duel, Aerial","First Half, First Half, Second Half, Second Half, Second Half, Second Half","Switch of play, Chipped, Long ball, Head pass, Defensive","Arthur Masuaku, Arthur Masuaku, Arthur Masuaku, Arthur Masuaku, Arthur Masuaku, Arthur Masuaku","Sunderland, Sunderland, Sunderland, Sunderland, Sunderland, Sunderland","Right, Back, Back, Left, Back, Back",,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,14.430096322786994,🔸🔹Defensive Transition✅⚠️,0,,,,,,,,,,,,,Restart Quickly,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.210089005843656,"🔹[I1a] GK Restarts(8"", quick turnover)❌",0,,,,,,,,,,,,,Restart Quickly,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,14.900108200250997,"🔸[OP4] Low Block(LSide cross, far post, shot deflected near the post)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,12.900091444237205,🔸[DSP] Defending Corner(L)❌,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,16.66006614229036,🔸[DSP] Kick off✅,0,,Out,Second Half,Next Event - Goal Kick,Arthur Masuaku,Sunderland,Back,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,17.722241976412988,"🔹[I1a] GK Restarts(OS, CB steps up)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,32.67223777550862,"🔸[OP4] Low Block(LTriangle, cross)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.998892368689667,🔸[DSP] Defending Corner(L)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,32.61017435657595,🔹🔸Offensive transition✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.93513216907013,🔸[OP2] High Press(long ball)✅,0,,,,,,,,,,,,,,,,,.
