Timeline,Start time,Duration,Row,Instance number,<flag>.,✅✅,❌❌,Ungrouped,Notes,Flags
Tactical_with_scoreboard,0.0,17.225716014065256,"🔸[DSP] Corner(R, back post)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,31.70785723624431,"🔹[IP1a]GK Restart(OS, short, around)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,25.355417684704207,"🔹[IP4]Attacking Phase(RW into the 9, support)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,25.503431036564052,"🔹[IP4]Attacking Phase(L10 into the 9, intercepted)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,27.43344048955487,"🔹🔸Defensive transition(CA, CPress not effective)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,21.390139595064284,"🔸[DSP] Throw-in(R, HZ, long)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,19.04704751182544,"🔸[DSP] Throw-in(R, HZ, 2-man, cross)❌❌",0,,,,❌❌,,.
Tactical_with_scoreboard,0.0,15.69674260344982,"🔸[DSP] Throw-in(L, 2-man, cross, holding)❌⚠️",0,,,,,,.
Tactical_with_scoreboard,0.0,27.50791351818134,"🔸[OP3b]Mid Block(6 triggers not clean, distances)❌🔍",0,,,,,,.
Tactical_with_scoreboard,0.0,18.018759646159197,"🔸[DSP] Free kick(2-man, wall dislocated)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,16.860124049354454,"🔹[IP1b]GK Restart(OS, short, quick, around)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,37.603059500997915,"🔸[OP3a]High Block(compact, intense, foul)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,7.9999909056123215,🔸[DSP] Kick-off✅,0,,,,,,.
Tactical_with_scoreboard,0.0,27.469551185834916,"🔹[IP1a]GK Restart(OS, long, 2nd ball)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,22.768105622559233,🔹[IP4]Attacking Phase(RSide cross)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,25.0698461767106,"🔹[OSP] Throw-in(R, HZ, long, blocks?)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,38.19963774404687,"🔹[OSP] Throw-in(R, HZ, long, 2 phases)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,25.165527985227072,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,22.430633396227677,🔸🔹Offensive transition(quick turnover)❌,0,,,,,,.
Tactical_with_scoreboard,0.0,23.338622932607905,"🔹🔸Defensive transition(CA, deep regain)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,12.545183955404354,🔹[IP2]Low Build-up(clearance under pressure)❌,0,,,,,,.
Tactical_with_scoreboard,0.0,14.56011487687556,"🔸[OP3b]Mid Block(R6 attracted, RCB steps in)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,12.910073740800271,"🔹[OSP] Throw-in(R, MZ, switch)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,15.660102720075429,🔹[IP4]Attacking Phase(LB into the 9)🚧,0,,,,,,.
Tactical_with_scoreboard,0.0,20.89011979607585,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,21.1301298381768,"🔹[IP1a]GK Restart(OS, long into the 9)✅✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,24.324406892346815,"🔹[OSP] Corner(R, GK zone, good set up)✅✅⚽️",0,,,,,,.
Tactical_with_scoreboard,0.0,29.178153281345658,🔸[DSP] Kick-off✅,0,,,,,,.
Tactical_with_scoreboard,0.0,13.836268140116772,"🔹[OSP] Free kick(deep, foul)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,26.247211150367548,"🔸[OP1a]GK Restart(OS, short to long, foul)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,16.090078635871578,🔸[OP3b]Mid Block(good press)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,20.374036872153738,"🔹[OSP] Throw-in(L, DZ, flip the pressure, 2nd phase)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,12.586787001250741,"🔹[IP2]Low Build-up(OS, long under pressure)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,23.660151493975718,"🔸[DSP] Free kick(R, wide, step back??)✅🔍",0,,,,,,.
Tactical_with_scoreboard,0.0,34.68935217877515,"🔸🔹Offensive transition(HRegain, shot from distance)✅✅",0,,,,,,.
Tactical_with_scoreboard,0.0,29.96408589704788,"🔹[OSP] Corner(R, 2-man, 2nd phase)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,26.12853478964462,"🔹🔸Defensive transition(CA, on the edge)🚧",0,,,,,,.
Tactical_with_scoreboard,0.0,19.6959419427958,"🔹[IP2]Low Build-up(OS, long under pressure)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,40.053050001016345,🔸[OP3b]Mid Block(good animation proactive)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,36.864999187801914,"🔸[OP4]Low Block(2 poor interventions, shot conceded)❌❌",0,,,,,,.
