Timeline,Start time,Duration,Row,Instance number,0-15,15-30,30-45,45-60,60-75,75-90,<flag>Nouveau drapeau,Back 4 Line Management,DATE,Diagonal Pass,GameTime,Opposition,Period,Round,Score,Set Play Phase,Venue,🔸 [OP] Zonal Defence,🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,Ungrouped,Notes,Flags
250816_Sunderland_WestHamUnited_ANALYST,0.0,12.190057302897003,"Attacking Throw In(L, DZ)❌",0,,,,,,,,,2O250816,,00:24:39,West Ham United,1,R1,3-0,"Left, Def Half",Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,17.930084135487505,"Attacking Throw In(L, DZ)❌⚠️",0,,,,,,,,,2O250816,,00:25:46,West Ham United,1,R1,3-0,"Right, Def Half",Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,17.930084135487505,Defensive Transition (Loss of Possession)❌❌,0,,,,,,,,,2O250816,,00:25:46,West Ham United,1,R1,3-0,"Right, Def Half",Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,26.350160040188257,"[OP4a] Low Block (diag, 2nd ball, cross)⚠️",0,,,,,,,,,2O250816,,00:26:12,West Ham United,1,R1,3-0,,Home,,,5-4-1,,,,"Back 4 Line Management, 15-30",,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,24.459228696156288,"[IP1a] GK Restarts(spare-man, around)🚧",0,,,,,,,,,2O250816,,00:26:44,West Ham United,1,R1,3-0,,Home,,,,,,"Short, Spare Man (vMFM)",15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,38.59002360430054,"[OP2a] High Press MFM(switches, duel lost)❌🔎",0,,,,,,,,,2O250816,,00:27:32,West Ham United,1,R1,3-0,"Right, Att Half",Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.77529009536738,[OP3b] Mid Block(organisation?)✅,0,,,,,,,,,2O250816,,00:28:18,West Ham United,1,R1,3-0,,Home,Back 4 Line Management,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,23.020115523029062,"[IP1b] GK Restarts Direct (OS, IB)✅",0,,,,,,,,,2O250816,,00:28:46,West Ham United,1,R1,3-0,,Home,,,,,,"Short, Around",15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,16.060084441956633,"Attacking Throw In(R, HZ)✅",0,,,,,,,,,2O250816,,00:29:17,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,22.060044953231227,"[IP3a] Build (3+2, game plan opportunity IB)❌🔎",0,,,,,,,,,2O250816,,00:29:30,West Ham United,1,R1,3-0,,Home,,,,,,"Short, Around",15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,24.71996029053298,"[OP3a] High Block (GK DisConnected, distances!!!)⚠️",0,,,,,,,,,2O250816,,00:30:21,West Ham United,1,R1,3-0,,Home,,,,,,"Short, Around",15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.200083822259103,"[IP1b] GK Restarts Direct (OS), IB 2 wingers)✅",0,,,,,,,,,2O250816,,00:31:13,West Ham United,1,R1,3-0,,Home,,,,,,"OS: LONG, Front 3",,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.192369663086538,"Attacking Throw In(L, MZ)❌",0,,,,,,,,,2O250816,,00:31:42,West Ham United,1,R1,3-0,"Left, Att Half",Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,43.080218221212135,[OP3b] Mid Block(hard to beat)✅,0,,,,,,,,,2O250816,,00:32:03,West Ham United,1,R1,3-0,,Home,Side Overloads,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,33.602116500993134,"[IP1b] GK Restarts Direct (OS, IB Wingers, flip the pressure)✅",0,,,,,,,,,2O250816,,00:32:58,West Ham United,1,R1,3-0,,Home,,,,,,"OS: LONG, Front 3",30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,25.75071587101047,Attacking Free Kick(2-men)❌,0,,,,,,,,,2O250816,,00:33:51,West Ham United,1,R1,3-0,"Deep, Att Half",Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,43.830245656465195,"[IP3b] Attacking (4-3-3, Numbers Recognition, R-L triangles)❌",0,,,,,,,,,"2O250816, 2O250816",,"00:35:03, 00:34:52","West Ham United, West Ham United","1, 1","R1, R1","3-0, 3-0",,"Home, Home",,,,Pin & Switch,,,"30-45, 30-45",,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,32.599963424036105,"[OP1b] GK Restarts (OS, rentention issue)❌",0,,,,,,,,,2O250816,,00:36:02,West Ham United,1,R1,3-0,,Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,17.82014142304115,[OP4a] Low Block(4-4-2)✅,0,,,,,,,,,2O250816,,00:36:39,West Ham United,1,R1,3-0,,Home,Back 4 Line Management,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.5,[OP4a] Low Block(DThrow-in→High press)✅,0,,,,,,,,,2O250816,,00:37:13,West Ham United,1,R1,3-0,,Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,16.200510954248784,"[IP3a] Build (3+2, IB 9)🚧",0,,,,,,,,,2O250816,,00:37:39,West Ham United,1,R1,3-0,,Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.650108205875767,"Attacking Throw In(L, MZ)❌",0,,,,,,,,,2O250816,,00:38:04,West Ham United,1,R1,3-0,"Left, Att Half",Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,26.13595589922079,"Attacking Throw In(R, DZ)❌",0,,,,,,,,,2O250816,,00:38:52,West Ham United,1,R1,3-0,"Right, Def Half",Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,38.20024791700689,[OP4a] Low Block(DThrow-in→High press)🚧,0,,,,,,,,,2O250816,,00:40:10,West Ham United,1,R1,3-0,,Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,41.939891198979694,[OP4a] Low Block(cross)✅,0,,,,,,,,,2O250816,,00:41:04,West Ham United,1,R1,3-0,,Home,Organisation & Triggers,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,21.54011521927623,Attacking Transition (Counter Attack)✅,0,,,,,,,,,2O250816,,00:41:25,West Ham United,1,R1,3-0,,Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,18.860116448634017,Attacking Corner(L)🚧,0,,,,,,,,,2O250816,,00:43:00,West Ham United,1,R1,3-0,"Left, Att Half, Long",Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.939963591320975,Attacking Corner(R)🚧,0,,,,,,,,,2O250816,,00:43:36,West Ham United,1,R1,3-0,"Right, Long",Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,43.90000915958035,"[OP3b] Mid Block(4-4-2, diag)✅",0,,,,,,,,,2O250816,,00:44:03,West Ham United,1,R1,3-0,,Home,,,,,,,30-45,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,27.69010149586893,[OP4a] Low Block(4-4-2)✅,0,,,,,,,,,2O250816,,00:01:34,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,21.89973233435194,[IP1b] GK Restarts Direct (OS)✅,0,,,,,,,,,2O250816,,00:02:20,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,17.350120402494213,"[IP3b] Attacking (4-3-3, 9 IB)✅✅",0,,,,,,,,,2O250816,,00:02:25,West Ham United,2,R1,3-0,,Home,,,,In-Behind,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.420072857142713,[IP4] Attack the Box(cross)✅,0,,,,,,,,,2O250816,,00:02:31,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.74017007985185,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,2O250816,,00:03:02,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,25.79761283332573,Defending Free Kick(R)✅,0,,,,,,,,,2O250816,,00:39:44,West Ham United,2,R1,3-0,"Left, Att Half",Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,18.760124072045073,"Attacking Throw In(L, MZ)❌",0,,,,,,,,,2O250816,,00:40:26,West Ham United,2,R1,3-0,"Left, Def Half",Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.560098154761818,"[IP3a] Build (3+2, 9 IB)🚧",0,,,,,,,,,2O250816,,00:40:41,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,17.270126195780904,[OP3a] High Block (GK Connected)✅,0,,,,,,,,,2O250816,,00:41:25,West Ham United,2,R1,3-0,,Home,Diagonal Pass,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,28.30485525032327,"[IP2a] OP GK Connected(spare-man, IB)🚧",0,,,,,,,,,2O250816,,00:41:36,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.710125575959864,[OP3b] Mid Block(IB)✅,0,,,,,,,,,2O250816,,00:42:05,West Ham United,2,R1,3-0,,Home,Back 4 Line Management,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,23.790174641773774,[IP1a] GK Restarts(Press-breaking dribble)✅,0,,,,,,,,,2O250816,,00:42:22,West Ham United,2,R1,3-0,,Home,,,,,,"Short, Around",45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.17009413889491,"[IP3a] Build (3+2, game plan opportunity IB)✅🔎",0,,,,,,,,,2O250816,,00:43:16,West Ham United,2,R1,3-0,,Home,,,,In-Behind,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,16.380065845465197,"Attacking Corner(R, far post)🚧",0,,,,,,,,,2O250816,,00:44:05,West Ham United,2,R1,3-0,"Right, Long",Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.70009449688223,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,2O250816,,00:44:41,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,18.071444186556164,"[IP2a] OP GK Connected(spare-man, Progressive carry, FB off the shoulder)🚧",0,,,,,,,,,2O250816,,00:44:52,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,28.7004897070492,"[IP2a] OP GK Connected(IB, 2nd ball, shot)✅",0,,,,,,,,,2O250816,,00:45:42,West Ham United,2,R1,3-0,,Home,,,,Vertical Pass,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,22.240194466271532,[OP1a] GK Restart MFM✅,0,,,,,,,,,2O250816,,00:46:26,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,57.40073095896696,"[IP3a] Build (3+2, cross)✅✅✅⚽️",0,,,,,,,,,2O250816,,00:46:56,West Ham United,2,R1,3-0,,Home,,,,,,,45-60,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,24.90475429194794,"Attacking Throw In(R, DZ)🚧",0,,,,,,,,,2O250816,,00:31:46,West Ham United,2,R1,3-0,"Right, Def Half",Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,21.00069537562831,"[IP1a] GK Restarts(quick, around, IB)❌",0,,,,,,,,,2O250816,,00:32:09,West Ham United,2,R1,3-0,,Home,,,,,,Restart Quckly,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,25.640145706132444,"[OP4a] Low Block(opposite W, cross)🚧⚠️",0,,,,,,,,,2O250816,,00:33:25,West Ham United,2,R1,3-0,,Home,Side Overloads,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,36.77022831719978,"[IP1b] GK Restarts Direct (OS, long Front3, 2nd ball)✅",0,,,,,,,,,2O250816,,00:35:17,West Ham United,2,R1,3-0,,Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,44.340425958710966,"[IP4] Attack the Box(2 crosses, LTriangle-)✅",0,,,,,,,,,2O250816,,00:35:42,West Ham United,2,R1,3-0,,Home,,,,,,,60-75,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,12.360092074226486,Defensive Transition (Loss of Possession)✅,0,,,,,,,,,2O250816,,00:36:16,West Ham United,2,R1,3-0,,Home,,,,,,,60-75,,Nouveau drapeau
