Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,🔸🔹[OT] Clear the ball,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
261201_Sunderland_ManchesterCity_ANALYST,0.0,22.800097539984563,"🔸[OP1a]GK Restart(quick, around)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,24.86013777327389,"🔸[DSP] Free kick(wide, 1st contact, turnover after the regain)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,18.950080788481955,🔸🔹Offensive transition(quick turnover)❌,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,43.04921268260705,🔸[OP2]High Press(multiple phases)✅,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,22.134270693232338,"🔹[IP2]Low Build-up(long under pressure, turnover, counter-attack)❌⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,23.559983846371324,"🔹🔸Defensive transition(counter-attack, cross)❌❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,17.34291347703038,"🔹[IP1a]GK Restart(OS, around long)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,56.06267239165663,🔸[OP2]High Press(MFM-1 at the back ... big chance at the end)❌❌⚠️,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,35.86589534162704,"🔹[IP1a]GK Restart(spare man, into the 9)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,36.80393176598682,🔹[IP4]Attacking Phase(cross)✅,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,21.340136576232908,"🔸[OP2]High Press(MFM, mid regain)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,37.757584048700664,"🔹[IP2]Low Build-up(spare man, around, shot)✅✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,26.2893386015503,"🔹[OSP] Corner(R, front post, delivery?)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,32.54012367552241,"🔹[IP2]Low Build-up(around, IB, flip the pressure, counter-P)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,30.150112778587754,"🔹[IP4]Attacking Phase(Feed the WInger, 10, shot)✅✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,25.19957675679143,"🔹[OSP] Throw-in(R, HZ, long, 2 phases)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,37.3634049896209,"🔸[OP4]Low Block(LTriangle, cross, don't jump!!)❌🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,32.287699171773966,"🔸[OP4]Low Block(RSide, switch 4-5-4)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,32.25116701623483,"🔹[IP1b]GK Restart(spare man, into the pressing trap, way out?)❌🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,11.540092354048284,"🔹[IP1a]GK Restart(OS, mid range LB)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,19.26993175172447,"🔸[OP3b]Mid Block(pressing triggers, mid regain)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.40045860589089,🔹[OSP] Free kick(deep)🚧,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,16.094942141646243,"🔸[DSP] Throw-in(L, HZ, through the 9)❌⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.3098280322738,"🔹[OSP] Throw-in(L, DZ, flip the pressure, CPress)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,53.143243638853164,"🔹[OSP] Throw-in(L, HZ, long, indirect, 2 phases)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,39.259294747171225,"🔹🔸Defensive transition(counter-attack, 2v1 LW, cross)🚧⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,14.483500955411728,"🔹[OSP] Throw-in(R, DZ, flip the pressure)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,22.181824575483915,"🔸🔹Offensive transition(counter-A, automatic runs, cross)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,32.59965987637497,"🔸[OP3b]Mid Block(narrow 1st, on the edge)✅🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,33.781417401944054,"🔸[OP2]High Press(L-side underloaded, press bypasse)❌🔍",0,,,,,🔸🔹[OT] Clear the ball,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.879274174215425,"🔸[OP4]Low Block(IB, track the runner)❌❌⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,33.39657930456633,"🔸[DSP] Corner(R, 2 phases)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,22.950140224138522,"🔹[IP1a]GK Restart(OS, long Front3, 2nd ball)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,29.62571249507073,"🔸[OP3b]Mid Block(through, narrow 1st)❌🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,14.279035355943051,"🔹[OSP] Throw-in(R, MZ, turnover, no patterns)❌⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,23.871222056525767,"🔸[OP4]Low Block(LSide, 2 crosses, box unit)✅🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,14.691811824292927,"🔸[OP4]Low Block(RSide, Doku's management??)❌❌🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,14.24064945338796,"🔸[DSP] Corner(R, 1st contact)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,14.689434548357895,"🔹[IP1a]GK Restart(spare man, around, long)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,31.46560295985182,"🔸[DSP] Throw-in(R, MZ, intention 4-4-2, 2nd ball)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,35.51934629011248,"🔸[OP4]Low Block(compact block, 2 crosses, post)❌❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,33.04449108455265,"🔹[IP1a]GK Restart(HBlock, backpass forced)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,28.970103342879156,🔸[OP2]High Press(MFM witch a spare CB)❌🔍,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,57.83202408597572,"🔸[OP4]Low Block(RSide, central dynamics, narrow)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,26.95023223887256,"🔸🔹Offensive (composed to escape, counter-A)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,31.207909022352396,"🔹[OSP] Free kick(deep, 2nd ball, lack of intensity)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,48.89956420767703,"🔹🔸Defensive transition(counter-A, duel won)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,23.524427687880234,"🔸🔹Offensive transition(regain, quick turnover)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,19.97631195057147,"🔸[OP4]Low Block(LTriangle, box marking issues!)🚧🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,15.143298322437658,"🔹[IP1a]GK Restart(spare man, around/IB)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,51.55016765768505,"🔸[OP4]Low Block(mid-low block, RSide cross, composed)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,29.46965507499408,"🔹[IP1b]GK Restart(around, IB)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.77280944044469,"🔸[OP1a]GK Restart(quick, intensity)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,56.0397446709203,"🔸[OP4]Low Block(compact, RSide cross)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,49.8877861709625,🔸🔹Offensive transition(composure under Counter-P)✅⭐️,0,,,,,🔸🔹[OT] Keep the ball,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,33.731873409939,"🔹[IP2]Low Build-up(IB, 2nd ball)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,29.654499327786652,"🔹[IP1b]GK RestartHBlock, 2nd ball)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,21.73882660629897,🔸🔹Offensive transition(lack of composure under pressure)❌,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,22.94209552497614,"🔸🔹Offensive transition(flip the pressure, 2nd ball)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,25.93096288909328,"🔹🔸Defensive transition(counter-A, on the edge)✅⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,27.59549465020882,"🔹[IP1b]GK Restart(HBlock, poor delivery)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,41.37025258001813,"🔸[OP4]Low Block(LSide, cross, box unit, 2 phases)❌❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,34.266638391884044,"🔸🔹Offensive transition(counter-A, not composed enough)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,32.216685122361014,🔸[OP4]Low Block(2 crosses)✅⭐️,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,15.165658181823346,🔸🔹Offensive transition(foul gained)✅⭐️,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,23.081326735467883,"🔹[IP1a]GK Restart(HBlock, 2nd balls)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.645560556386954,"🔸🔹Offensive transition(counter-A, on the edge)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,18.480074986472573,"🔹[IP1a]GK Restart(HBloc, 2nd ball)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,27.096548470770358,"🔸[OP1a]GK Restart(quick, MFM, high regain)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,29.05304152242752,"🔹🔸Defensive transition(Counter-A, intensity, cutback)❌⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,22.64092179769068,"🔹[IP1b]GK Restart(long, Front3, 2nd ball)❌",0,,,,,,,.
