Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,Event,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Player,Pourcentage,Qualite,Score final,TIME PERIOD,Team,Type action,Zone,✅✅,❌❌,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260314_Sunderland_Brighton_ANALYST,0.0,27.992939748224444,"🔸[OP2]High Press(OS, short, around, unnecessary foul)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,17.5,"🔹[IP3b]Progression(1 pass, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,38.84020210478434,"🔸[OP4]Low Block(RTRiangle cross, box unit??)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,47.48788484107263,"🔸[OP4]Low Block(attempt to be proactive, late in duels)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,16.803307411745664,"🔸[OP2]High Press(OS, long, clean 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,31.756000000000313,Game management(bravery)⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,23.768102754581832,"🔹[IP2]Low Build-up(OS, short, LCB steps in, through the 6)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,39.11023836418826,"🔸[OP3b]Mid Block(zonal shape, pressing triggers??)🚧⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.720144488451297,"🔹[IP1a]GK Restart(OS, long into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.980120704937235,"🔹[IP4]Attacking Phase(LCB into the 9, support around?)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.58848453774226,"🔹[OSP] Throw-in(R, HZ, quick)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,119.96687142563405,"🔹[IP4]Attacking Phase(sustain the attack, 4 phases)✅🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,119.96687142563405,Game management(sustain the attack)⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,14.5,🔹[IP5]Attack the Box(RSide cross)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,33.15018137064044,"🔸[OP2]High Press(OS, short, mid regain, secured)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.428704266961176,"🔹[IP2]Low Build-up(OS, short, combination through)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,39.599549457239846,"🔸[OP1a]GK Restart(HBlock, 1st contact, secured)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,32.34686777968636,🔹[IP3b]Progression(play forward)✅✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,35.31200000000035,Game management(proactive defending & attacking)⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,23.09847200620061,"🔹[OSP] Corner(R, back post delevery, foul)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.262173323103525,"🔸[OP1a]GK Restart(HBlock, 1st contact lost, cross conceded)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.599855000999014,"🔹[IP1b]GK Restart(OS, long under pressure into the 9, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.446574976235752,"🔹[OSP] Free kick(deep, 2-man combination)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.65648042144312,"🔹[OSP] Corner(L, mid zone, 1st contact)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.746809282163667,"🔹[OSP] Corner(R, 2-man, back post)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.130108508433295,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.570078947653656,🔸[OP3b]Mid Block(IB)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
