Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,31.260206355338596,"🔸[OP2]High Press(good triggers, duel lost)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,37.84020360290879,"🔸[OP4]Low Block(RSide, cross, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,22.866262996029945,"🔹[IP3b]Progression(LW inside, turnover)❌",0,,,,,,,,,,,,,,,,,,🔹🔸[DT] Quick regain,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,21.160082901320038,"🔹[IP2]Low Build-up(long under pressure, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,58.13044071160357,🔸[OP4]Low Block(R-L triangles)✅,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,35.00580545911362,"🔸🔹Offensive transition(escape the pressure, 3 turnovers in a row)⚠️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,24.89013503910064,"🔹[IP1b]GK Restart(around, then IB)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,22.569915504713663,"🔹[OSP] Free kick(R, wide, blocks?)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,27.01014691610908,"🔸[OP4]Low Block(through, 2nd phase ok)🚧🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,124.89173059550603,"🔹[IP3b]Progression(good control, create imbalance to attack the goal?)🚧🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,15.723732717322946,"🔹🔸Defensive transition(C.-attack, shot near the post)⚠️",0,,,,,,,,,,,,,,,,,,🔹🔸[DT] Back in,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,17.17010181441583,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,25.890221880751596,"🔸[OP1a]GK Restart(OS, long; 1st contact lost; cross conceded)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,17.330084124828318,"🔸[DSP] Corner(L, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,27.34432996283431,"🔸[OP4]Low Block(narrow midfield line, LWB proactive)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,26.866878618977353,"🔸[OP1a]GK Restart(OS, long, 1st contact won, sloppy after)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,14.33007194050515,"🔸[DSP] Throw-in(L, HZ, long)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,48.216488167990065,"🔸[OP3b]Mid Block(triggers adjustments, IB, cross)✅🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,24.320228292475804,"🔹[IP1b]GK Restart(OS, spare man, into the 9)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,49.12156360578683,"🔸[OP2]High Press(+1 at the back, high press switched off)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,22.39014113815483,🔸[OP4]Low Block(LSide)✅,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,20.903287914370594,"🔸🔹Offensive transition(cheap turnover, lack of control)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,33.72477504040944,"🔹[IP1a]GK Restart(HBLock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,21.030123757152978,"🔹[OSP] Free kick(deep FK, blocks?)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,32.61174592200405,🔸[OP3b]Mid Block(RSide dynamic)✅,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,13.810076763622419,"🔹[IP2]Low Build-up(long, out of play)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,8.670062179845445,"🔸[DSP] Free kick(wide, L)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,17.34819661731035,"🔹[IP1a]GK Restart(OS, long into the 9)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,14.940087791305814,"🔹[OSP] Free kick(deep, inaccurate)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,21.43013595870707,"🔸[OP1a]GK Restart(OS, short then long)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,32.04679196352481,"🔸[OP2]High Press(OS, short, lost duel, sloppy after the regain)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,21.310119481864604,🔸[OP3b]Mid Block(4-5-1)✅,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,23.85014022564883,"🔸[OP1a]GK Restart(OS, long)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,15.0200987545104,"🔹[OSP] Throw-in(L, MZ, patterns?)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,27.04154356246363,"🔸[DSP] Free kick(L, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,14.120086564767007,"🔹[OSP] Throw-in(L, HZ, long??)❌",0,,,,,,,,,,,,,,,,,,,,.
