Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Set Play Against,Set Play Phase,🔸[OP] --> 🔹[IP],🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP] ,Ungrouped,Notes,Flags
Sunderland v Brentford,0.0,18.33623304060893,"Attacking Throw In(R, MZ)✅",0,,,"Right, Att 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.83303508512472,"[IP3a] Build (3+1, under pressure)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,35.0,[IP3a] Build (3+1)🚧,0,,,,,,Vertical Pass,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,17.13011004035161,[OP1c] GK Restarts (HB)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,42.73475851463445,[OP2a] High Press MFM ✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.07273929875646,"Attacking Throw In(R, MZ)✅",0,,,"Right, Att 1/3, Long",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,37.78916573265451,[OP4a] Low Block(LTriangle)❌❌❌⚽️,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.090080172965827,kick off✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,12.612850027184322,Attacking Free Kick✅✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,23.780105475744676,"Attacking Corner(L, penalty for)✅",0,,,Left,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.0,Penalty✅✅✅⚽️,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.239655007841066,[OP1c] GK Restarts (HB)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,18.99582321625803,Defending Corner(R)✅,0,,,Right,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.0,[1b] GK Restarts Direct (OS)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,29.80023392336443,"[IP4] Attack the Box(cross, shot)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,10.540057307581264,[OP1c] GK Restarts (HB)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,22.16010120563351,[OP2a] High Press MFM ❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,12.020048469387802,[OP4b] Box Defence (cross)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.990747637624736,[1a] GK Restarts(long)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.40016304357323,[2a] OP GK Connected(long)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,25.88442405785463,"[OP1b] GK Restarts (OS, duel lost)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.201502215859364,[OP2a] High Press MFM ✅,0,,,,,Diagonal Pass,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,20.352353691418102,Attacking Free Kick✅,0,,,"Right, Deep",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,38.731058750199736,[OP1c] GK Restarts (HB)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.86175124743386,[OP3b] Mid Block✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,23.290131991938324,[2a] OP GK Connected(long)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.19603618842666,[OP2a] High Press MFM ✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,11.840074058956816,"Attacking Throw In(L, MZ)✅",0,,,"Left, Mid 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.17008047631134,Defending Free Kick✅,0,,,"Right, Deep",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,39.0,[3b] Attacking (4-3-3)✅✅✅⚽️,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,13.49006340561209,"[IP4] Attack the Box(cross, goal)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,12.776465543367522,"[IP4] Attack the Box(cross, goal)✅",1,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,18.628009906446096,[OP1c] GK Restarts (HB)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.66558934146451,[1c] GK Restarts Direct (HB)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.260293120192728,Defending Free Kick✅,0,,,"Deep, Left",,,,,,,,,Nouveau drapeau
